id,task_category,comments_category,comment_problem,comment_verb,comment_obj,aesthetics_rating,usability_rating,design_quality_rating,learnability,efficency
408,Exploration and Navigation,Usability of Buttons,button or icon allow user to see current location,add,button or icon allow user to see current location,6,6,6,3.0,3
410,Exploration and Navigation,Usability of Buttons,brown button,uniform font style to be use consistently,text 's small size and low color contrast,4,4,4,2.0,2
411,Exploration and Navigation,Learnability,breakfast icon,add,appropriate icon clearly represent function,3,4,4,2.0,2
412,Exploration and Navigation,Usability of Buttons,button or icon allow user to see current location,change,text color contrast,8,8,8,4.0,4
414,Customization of app settings and preferences,Usability of Buttons,unnecessarily large font,reduce,space element,6,6,6,3.0,3
415,Customization of app settings and preferences,Text Readability,ranking text,increase,current button size,6,5,6,3.0,3
416,Accessing and managing information,Layout,ranking text,increase,current button size,6,6,6,3.0,3
417,Accessing and managing information,Layout,purpose and function,reintroduce,"more common language , such",4,4,4,2.0,2
418,Accessing and managing information,Layout,breakfast icon,give,similar graphic treatment,5,4,5,2.0,2
419,User account management,Usability of Buttons,text and title,change,text and title,7,7,7,4.0,3
420,User account management,Usability of Buttons,current button size,increase,current button size,6,5,6,2.0,3
422,Customization of app settings and preferences,Layout,uniform font style to be use consistently,thorough redesign,setting page,6,6,6,3.0,3
423,Customization of app settings and preferences,Layout,unnecessarily large font,reduce,space element,5,5,5,3.0,2
424,Customization of app settings and preferences,Layout,hamburger Menu,remove,hamburger Menu,7,7,7,4.0,4
426,Exploration and Navigation,Usability of Buttons,positioning use design software to ensure alignment,add,two label,6,6,6,3.0,3
427,Exploration and Navigation,Usability of Buttons,login and logo,increase,current button size,5,5,5,3.0,3
428,Customization of app settings and preferences,Learnability,ranking text,increase,current button size,6,6,6,3.0,3
431,Media and content interaction,Layout,placeholder image or alternative visual content,have,placeholder image or alternative visual content,7,7,7,3.0,4
434,Accessing and managing information,Layout,ranking text,increase,current button size,6,6,6,3.0,3
435,Accessing and managing information,Layout,positioning use design software to ensure alignment,declutter,positioning use design software to ensure alignment,7,7,7,3.0,4
436,Accessing and managing information,Layout,purpose and function,increase,separation line,5,4,5,2.0,2
437,User account management,Layout,two label,improve,readability and information flow,7,7,7,3.0,4
438,User account management,Usability of Buttons,login and logo,enlarge,login and logo,6,5,6,2.0,3
439,User account management,Layout,text and title,increase,current button size,5,5,5,3.0,3
440,Customization of app settings and preferences,Layout,ranking text,increase,current button size,6,6,6,3.0,3
441,Customization of app settings and preferences,Layout,advertisement,add,clear close icon,6,6,6,3.0,3
442,Customization of app settings and preferences,Layout,ranking text,change,text color contrast,5,4,5,2.0,2
443,Media and content interaction,Layout,ranking text,increase,current button size,6,6,6,3.0,3
444,Exploration and Navigation,Text Readability,ranking text,increase,color weight,5,7,6,3.0,4
445,Exploration and Navigation,Text Readability,ranking text,increase,current button size,6,5,6,3.0,3
446,Exploration and Navigation,Text Readability,ranking text,choose,legible font be easy to read,6,6,6,3.0,3
447,Exploration and Navigation,Layout,uniform font style to be use consistently,change,text color contrast,2,2,2,1.0,1
448,Exploration and Navigation,Layout,purpose and function,choose,positioning use design software to ensure alignment,5,5,5,3.0,3
449,User account management,Layout,prominently position back button,revise,positioning use design software to ensure alignment,7,7,7,4.0,3
450,User account management,Usability of Buttons,positioning use design software to ensure alignment,reintegrate,breakfast icon,4,4,4,2.0,2
451,User account management,Color Contrast,text color contrast,adjust,text color contrast,6,6,6,3.0,3
452,Exploration and Navigation,Layout,absence,reintegrate,appropriate icon clearly represent function,3,4,3,2.0,2
453,Exploration and Navigation,Layout,setting bar,move,setting bar,5,5,5,3.0,2
455,Media and content interaction,Learnability,breakfast icon,adjust,separate background,6,6,6,3.0,3
456,Media and content interaction,Learnability,breakfast icon,give,similar graphic treatment,3,6,5,3.0,3
457,Media and content interaction,Usability of Buttons,facebook app,remove,breakfast icon,4,4,4,4.0,4
458,Customization of app settings and preferences,Layout,positioning use design software to ensure alignment,include,vibrant and eye-catch color,5,6,5,3.0,3
460,Customization of app settings and preferences,Text Readability,ranking text,increase,ranking text,6,6,6,3.0,3
461,Exploration and Navigation,Layout,button or icon allow user to see current location,add,button or icon allow user to see current location,5,5,5,3.0,2
464,User account management,Layout,ranking text,change,text color contrast,6,6,6,3.0,3
465,Exploration and Navigation,Layout,ranking text,change,ranking text,7,7,7,3.0,4
466,User account management,Layout,color weight,increase,color weight,6,6,6,3.0,3
467,Media and content interaction,Layout,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,6,6,3.0,3
469,Media and content interaction,Text Readability,current button size,increase,current button size,6,5,6,3.0,3
470,User account management,Usability of Buttons,ranking text,increase,current button size,6,6,6,3.0,3
472,User account management,Color Contrast,separate background,choose,positioning use design software to ensure alignment,4,4,4,4.0,4
474,Accessing and managing information,Layout,heading,add,heading,3,6,4,3.0,3
475,Accessing and managing information,Usability of Buttons,absence,reintegrate,appropriate icon clearly represent function,8,8,8,4.0,4
476,Customization of app settings and preferences,Layout,menu option layout,improve,clear and functional checkbox,7,7,7,3.0,4
477,Customization of app settings and preferences,Layout,purpose and function,add,section border,4,4,4,2.0,2
478,Customization of app settings and preferences,Usability of Buttons,button or icon allow user to see current location,adjust,systematic arrangement,6,6,6,3.0,3
479,Accessing and managing information,Layout,ranking text,increase,current button size,6,6,6,3.0,3
481,Customization of app settings and preferences,Usability of Buttons,ok and cancel button,be,text color contrast,4,5,5,4.0,4
482,User account management,Usability of Buttons,forgot password button,uniform font style to be use consistently,similar graphic treatment,6,6,6,3.0,3
483,User account management,Usability of Buttons,positioning use design software to ensure alignment,reintegrate,breakfast icon,5,5,5,3.0,2
484,User account management,Text Readability,sentence,check mark,spelling babsy,7,7,7,4.0,4
485,Accessing and managing information,Layout,ranking text,increase,ranking text,6,6,6,3.0,3
486,Accessing and managing information,Layout,positioning use design software to ensure alignment,improve,empty card,6,6,6,3.0,3
487,Accessing and managing information,Layout,theret,thorough redesign,positioning use design software to ensure alignment,6,6,6,3.0,3
489,Location and Travel,Layout,positioning use design software to ensure alignment,uniform font style to be use consistently,section border,7,7,7,4.0,3
490,Location and Travel,Color Contrast,text color contrast,change,color weight,7,7,7,3.0,4
491,Accessing and managing information,Text Readability,stand highlight,enlarge,stand highlight,6,6,6,3.0,3
493,Accessing and managing information,Text Readability,color weight,increase,color weight,6,6,6,3.0,3
494,Accessing and managing information,Learnability,ranking text,increase,current button size,6,6,6,3.0,3
495,Accessing and managing information,Learnability,ranking text,translate,ranking text,7,7,7,3.0,4
496,Accessing and managing information,Usability of Buttons,clear close icon,move,clear close icon,5,5,5,3.0,2
497,Exploration and Navigation,Layout,two label,omit,one,5,6,6,3.0,3
499,Exploration and Navigation,Layout,current button size,increase,current button size,5,5,5,3.0,2
500,Exploration and Navigation,Color Contrast,ranking text,increase,separate background,6,6,6,3.0,3
501,Exploration and Navigation,Layout,ranking text,uniform font style to be use consistently,large font size and more white space Bounding Box,7,7,7,4.0,4
503,User account management,Usability of Buttons,ranking text,increase,separate background,6,6,6,3.0,3
504,User account management,Usability of Buttons,login and logo,remove,pop-up 's dimension,4,4,4,4.0,4
505,Accessing and managing information,Text Readability,ranking text,increase,current button size,5,5,5,3.0,2
508,Media and content interaction,Layout,item load but lack proper visual-blank image,replace,item load but lack proper visual-blank image,7,7,7,4.0,3
510,Media and content interaction,Usability of Buttons,""" pende upload "" title",move,Recording and Background recording button,6,6,6,3.0,3
512,User account management,Usability of Buttons,label Username or SPG Number and Password,move,label Username or SPG Number and Password,5,5,5,3.0,2
513,User account management,Usability of Buttons,sign,uniform font style to be use consistently,button or icon allow user to see current location,4,4,4,4.0,4
