id,comment1_problem,comment1_solution_verb,comment1_solution_obj,comment2_problem,comment2_solution_verb,comment2_solution_obj,comment3_problem,comment3_solution_verb,comment3_solution_obj,comment4_problem,comment4_solution_verb,comment4_solution_obj,comment5_problem,comment5_solution_verb,comment5_solution_obj,comment6_problem,comment6_solution_verb,comment6_solution_obj,comment7_problem,comment7_solution_verb,comment7_solution_obj
133,unknown,unknown,unknown,systematic arrangement,consider,unknown,ranking text,make,unknown,button or icon allow user to see current location,consider,unknown,absence,consider,clear and functional checkbox,Sign inbutton,make,Sign inbutton,unknown,unknown,unknown
134,button or icon allow user to see current location,try,unknown,unknown,remove,purpose and function,unknown,uniform font style to be use consistently,systematic arrangement,unknown,be,item load but lack proper visual-blank image,Sign inbutton,make,Sign inbutton,unknown,unknown,unknown,unknown,unknown,unknown
135,separate background,ensure,text color contrast,unknown,reintegrate,vibrant and eye-catch color,unknown,unknown,unknown,separate background,adjust,text color contrast,separate background,increase,separate background,placeholder image or alternative visual content,uniform font style to be use consistently,placeholder image or alternative visual content,placeholder image or alternative visual content,uniform font style to be use consistently,placeholder image or alternative visual content
136,facebook app,enlarge,facebook app,current button size,increase,current button size,ranking text,increase,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
137,placeholder image or alternative visual content,uniform font style to be use consistently,placeholder image or alternative visual content,standard drop,reintegrate,standard drop,current button size,reintegrate,more readable font,current lack,prioritize,clear layout and intuitive navigation,placeholder image or alternative visual content,uniform font style to be use consistently,placeholder image or alternative visual content,unknown,unknown,unknown,unknown,unknown,unknown
138,ranking text,leave alignment,ranking text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
139,ranking text,increase,separate background,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
140,unknown,try,unknown,subscription message,try,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
141,entire way,try,unknown,clear and functional checkbox,try,unknown,clear and functional checkbox,make,ranking text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
142,item load but lack proper visual-blank image,increase,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
143,entire way,try,unknown,clear and functional checkbox,try,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
144,unknown,align,ranking text,current button size,ncrease,current button size,separation line,increase,separation line,current button size,increase,current button size,text color contrast,change,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown
145,heading,increase,current button size,spacing,increase,space element,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
146,unknown,emphasize,header and sub header,spacing,increase,space element,repeat number,increase,font size & weight,unknown,unknown,unknown,spacing,increase,spacing,unknown,unknown,unknown,unknown,unknown,unknown
147,unknown,unknown,unknown,unknown,unknown,unknown,current lack,reintroduce,separate background,information,organize,information,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
148,purpose and function,uniform font style to be use consistently,icon or illustration depict offline reading,item load but lack proper visual-blank image,uniform font style to be use consistently,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
149,systematic arrangement,prominently position back button,live button,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
150,purpose and function,add,section border,unknown,add,appropriate icon clearly represent function,purpose and function,uniform font style to be use consistently,grid or baseline,current lack,reintegrate,appropriate icon clearly represent function,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
151,breakfast icon,change,breakfast icon,unknown,make,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
152,breakfast icon,change,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
153,ranking text,increase,ranking text,uniform font style to be use consistently,change,text color contrast,unknown,thorough redesign,ui,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
154,breakfast icon,increase,separate background,purpose and function,add,section border,positioning use design software to ensure alignment,reintegrate,breakfast icon,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
155,positioning use design software to ensure alignment,maintain,systematic arrangement,ranking text,need,unknown,text color contrast,change,text color contrast,two label,uniform font style to be use consistently,unnecessarily large font,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
156,unknown,improve,information,button or icon allow user to see current location,uniform font style to be use consistently,\ and other,positioning use design software to ensure alignment,consider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
157,unknown,unknown,unknown,purpose and function,add,section border,purpose and function,organize,unknown,breakfast icon,increase,same font size / type / color weight,purpose and function,make,unknown,information,improve,information,information,organize,information
158,heading,increase,current button size,unknown,unknown,unknown,unknown,remove,breakfast icon,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
159,prominently position back button,give,prominently position back button,uniform font style to be use consistently,reduce,amount,Download Offline HD English Voice button,align,button or icon allow user to see current location,purpose and function,separation,purpose and function,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
160,unknown,include,unknown,uniform font style to be use consistently,consider,unknown,Download Offline HD English Voice button,align,button or icon allow user to see current location,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
161,unknown,ensure,purpose and function,text Sherlock Holmes and Alice\s Adventures,improve,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
162,ranking text,change,text color contrast,unknown,unknown,unknown,breakfast icon,increase,setting bar,unknown,add,button or icon allow user to see current location,unknown,add,button or icon allow user to see current location,unknown,try,unknown,positioning use design software to ensure alignment,revise,positioning use design software to ensure alignment
163,ranking text,increase,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
164,separation line,be,separation line,action to be happen,be,button or icon allow user to see current location,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
